"ID
(#):","Week
(#):","Date
(mm-dd-yy):","Distance
(mi):","Time
(h:m:s):","Minutes
(min):","Pace
(min/mi):","Elevation Gain
(ft):","Max Elevation
(ft):","Calories
(Cal):",App:,Shoes:,Run Type:,City:,Location:,Terrain:,Note:
124,26,03-21-25,6.36,0:56:25,56.42,8:52,74,2427,858,Strava,Asics Gel-Venture 8,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
125,26,03-22-25,6.24,0:52:18,52.30,8:23,74,2427,842,Strava,Asics Gel-Contend 7,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
126,26,03-23-25,6.24,0:52:19,52.32,8:23,74,2427,842,Strava,Asics Gel-Venture 8,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
127,27,03-27-25,11.29,1:35:25,95.42,8:27,145,2427,1522,Strava,Asics Gel-Contend 7,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
128,27,03-28-25,1.70,0:14:11,14.18,8:21,19,2427,230,Strava,Asics Gel-Venture 8,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
129,28,04-03-25,6.42,0:53:32,53.53,8:20,73,2427,867,Strava,Asics Gel-Contend 7,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
130,28,04-04-25,6.22,0:51:51,51.85,8:20,74,2427,839,Strava,Asics Gel-Venture 8,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
131,28,04-06-25,6.23,0:53:51,53.85,8:39,74,2427,841,Strava,Asics Gel-Contend 7,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
132,28,04-06-25,6.23,0:57:17,57.28,9:12,74,2427,840,Strava,Asics Gel-Venture 8,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
133,28,04-06-25,6.25,0:52:58,52.97,8:28,75,2427,844,Strava,Asics Gel-Contend 7,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
134,29,04-09-25,6.25,0:52:13,52.22,8:21,72,2427,843,Strava,Asics Gel-Venture 8,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
135,29,04-10-25,6.82,0:59:24,59.40,8:43,74,2427,920,Strava,Asics Gel-Contend 7,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
136,29,04-12-25,6.25,0:51:28,51.47,8:14,76,2427,843,Strava,Asics Gel-Venture 8,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
137,29,04-13-25,6.55,0:55:35,55.58,8:29,66,2427,883,Strava,Asics Gel-Contend 7,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
138,30,04-14-25,6.67,0:59:39,59.65,8:57,72,2427,900,Strava,Asics Gel-Venture 8,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
139,30,04-15-25,6.31,0:49:23,49.38,7:50,72,2427,851,Strava,Asics Gel-Contend 7,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
140,30,04-16-25,6.24,0:54:22,54.37,8:43,73,2427,843,Strava,Asics Gel-Venture 8,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
141,30,04-17-25,6.24,0:54:53,54.88,8:48,72,2427,842,Strava,Asics Gel-Contend 7,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
142,30,04-17-25,6.29,0:50:59,50.98,8:06,75,2427,849,Strava,Asics Gel-Venture 8,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
143,30,04-18-25,6.25,0:51:33,51.55,8:15,72,2427,843,Strava,Asics Gel-Contend 7,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
144,30,04-19-25,6.23,0:52:39,52.65,8:27,75,2427,840,Strava,Asics Gel-Venture 8,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
145,30,04-20-25,6.24,0:51:29,51.48,8:15,72,2427,842,Strava,Asics Gel-Contend 7,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
146,31,04-23-25,6.31,0:54:10,54.17,8:35,74,2427,852,Strava,Asics Gel-Venture 8,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
147,31,04-24-25,12.12,1:49:10,109.17,9:00,149,2427,1634,Strava,Asics Gel-Contend 7,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
148,31,04-26-25,6.25,0:54:16,54.27,8:41,72,2427,843,Strava,Asics Gel-Venture 8,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
149,31,04-27-25,6.28,0:54:22,54.37,8:39,72,2427,848,Strava,Asics Gel-Contend 7,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
150,32,04-28-25,6.23,0:51:39,51.65,8:17,75,2427,841,Strava,Asics Gel-Venture 8,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
151,32,05-01-25,6.31,0:51:38,51.63,8:11,73,2427,851,Strava,Asics Gel-Contend 7,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
152,32,05-03-25,22.20,3:46:14,226.23,10:11,78,2842,2991,Strava,Asics Gel-Contend 7,Race,Boise,Greenbelt - Lucky Peak State Park,Asphalt,Boise River Marathon
153,32,05-04-25,6.33,0:51:51,51.85,8:11,72,2427,854,Strava,Asics Gel-Cumulus 26,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
154,33,05-05-25,6.27,0:49:29,49.48,7:54,73,2427,846,Strava,Asics Gel-Cumulus 26,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
155,33,05-06-25,6.33,0:50:31,50.52,7:59,73,2427,854,Strava,Asics Gel-Cumulus 26,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
156,33,05-07-25,6.25,0:49:49,49.82,7:58,66,2427,843,Strava,Asics Gel-Contend 7,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
157,33,05-08-25,6.33,0:49:38,49.63,7:50,74,2427,854,Strava,Asics Gel-Cumulus 26,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
158,33,05-09-25,6.30,0:49:16,49.27,7:49,71,2427,850,Strava,Asics Gel-Cumulus 26,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
159,33,05-10-25,6.36,0:51:11,51.18,8:03,71,2427,858,Strava,Asics Gel-Contend 7,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
160,33,05-11-25,6.36,0:49:03,49.05,7:43,71,2427,858,Strava,Asics Gel-Cumulus 26,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
161,34,05-12-25,6.27,0:50:28,50.47,8:03,71,2427,845,Strava,Asics Gel-Cumulus 26,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
162,34,05-13-25,6.31,0:49:47,49.78,7:53,71,2427,852,Strava,Asics Gel-Cumulus 26,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
163,34,05-14-25,7.50,1:02:26,62.43,8:19,80,2567,1012,Strava,Asics Gel-Venture 8,Run Club,Nampa,Kingfisher Trail,Gravel Road,Boise Area Runners
164,34,05-15-25,6.37,0:50:59,50.98,8:00,73,2427,859,Strava,Asics Gel-Cumulus 26,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
165,34,05-16-25,6.28,0:48:58,48.97,7:48,73,2427,847,Strava,Asics Gel-Cumulus 26,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
166,34,05-17-25,6.29,0:48:41,48.68,7:44,73,2427,848,Strava,Asics Gel-Cumulus 26,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
167,34,05-18-25,6.42,0:50:36,50.60,7:53,450,2864,879,Strava,Asics Gel-Venture 8,Solo Run,Boise,Harrison Hollow Trail,Dirt Hills,Daily Run
168,35,05-19-25,7.00,0:54:14,54.23,7:45,88,2427,944,Strava,Asics Gel-Cumulus 26,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
169,35,05-20-25,6.21,0:46:39,46.65,7:31,82,2427,838,Strava,Asics Gel-Cumulus 26,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
170,35,05-21-25,6.27,0:46:56,46.93,7:29,72,2427,846,Strava,Asics Gel-Cumulus 26,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
171,35,05-22-25,6.25,0:46:58,46.97,7:31,71,2427,843,Strava,Asics Gel-Cumulus 26,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
172,35,05-23-25,6.34,0:47:03,47.05,7:25,72,2427,855,Strava,Asics Gel-Cumulus 26,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
173,35,05-24-25,7.57,1:00:25,60.42,7:59,83,2430,1022,Strava,Asics Gel-Cumulus 26,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
174,35,05-25-25,6.28,0:50:57,50.95,8:07,72,2427,848,Strava,Asics Gel-Cumulus 26,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
175,36,05-26-25,6.31,0:50:15,50.25,7:58,71,2427,851,Strava,Asics Gel-Cumulus 26,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
176,36,05-27-25,6.28,0:50:08,50.13,7:59,72,2427,847,Strava,Asics Gel-Cumulus 26,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
177,36,05-28-25,6.31,0:49:40,49.67,7:52,72,2427,851,Strava,Asics Gel-Cumulus 26,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
178,36,05-28-25,6.28,0:52:26,52.43,8:21,72,2427,847,Strava,Asics Gel-Cumulus 26,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
179,36,05-29-25,6.31,0:51:00,51.00,8:05,72,2427,852,Strava,Asics Gel-Cumulus 26,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
180,36,05-31-25,6.26,0:49:01,49.02,7:50,72,2427,844,Strava,Asics Gel-Cumulus 26,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
181,36,05-31-25,6.26,0:51:37,51.62,8:15,72,2427,845,Strava,Asics Gel-Cumulus 26,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
182,36,06-01-25,6.25,0:53:44,53.73,8:36,72,2427,843,Strava,Asics Gel-Cumulus 26,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
183,37,06-02-25,6.29,0:53:13,53.22,8:28,72,2427,848,Strava,Asics Gel-Cumulus 26,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
184,37,06-03-25,6.30,0:50:54,50.90,8:05,72,2427,850,Strava,Asics Gel-Cumulus 26,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
185,37,06-04-25,6.29,0:51:16,51.27,8:09,72,2427,848,Strava,Asics Gel-Cumulus 26,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
186,37,06-05-25,6.27,0:51:11,51.18,8:10,72,2427,846,Strava,Asics Gel-Cumulus 26,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
187,37,06-06-25,6.29,0:50:56,50.93,8:06,74,2427,848,Strava,Asics Gel-Cumulus 26,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
188,37,06-06-25,6.26,0:52:57,52.95,8:28,73,2427,844,Strava,Asics Gel-Cumulus 26,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
189,37,06-07-25,6.76,0:58:58,58.97,8:43,87,2427,912,Strava,Asics Gel-Cumulus 26,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
190,37,06-07-25,6.74,1:02:40,62.67,9:18,87,2427,910,Strava,Asics Gel-Cumulus 26,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
191,37,06-08-25,6.25,0:56:10,56.17,8:59,73,2427,844,Strava,Asics Gel-Cumulus 26,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
192,38,06-09-25,6.25,0:48:33,48.55,7:46,72,2427,843,Strava,Asics Gel-Cumulus 26,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
193,38,06-10-25,6.26,0:52:05,52.08,8:19,72,2427,844,Strava,Asics Gel-Cumulus 26,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
194,38,06-11-25,6.28,0:53:18,53.30,8:29,71,2427,847,Strava,Asics Gel-Cumulus 26,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
195,38,06-12-25,6.29,0:51:45,51.75,8:14,74,2427,849,Strava,Asics Gel-Cumulus 26,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
196,38,06-13-25,6.30,0:50:17,50.28,7:59,72,2427,849,Strava,Asics Gel-Cumulus 26,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
197,38,06-14-25,6.31,0:48:04,48.07,7:37,74,2427,852,Strava,Asics Gel-Cumulus 26,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
198,38,06-15-25,6.32,0:49:44,49.73,7:52,74,2427,853,Strava,Asics Gel-Cumulus 26,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
199,39,06-16-25,6.32,0:50:57,50.95,8:04,73,2427,852,Strava,Asics Gel-Cumulus 26,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
200,39,06-17-25,6.33,0:49:06,49.10,7:45,73,2427,853,Strava,Asics Gel-Cumulus 26,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
201,39,06-18-25,6.34,0:51:08,51.13,8:04,74,2427,855,Strava,Asics Gel-Cumulus 26,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
202,39,06-19-25,6.30,0:52:45,52.75,8:22,74,2427,850,Strava,Asics Gel-Cumulus 26,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
203,39,06-20-25,6.25,0:50:00,50.00,8:00,74,2427,845,None,Asics Gel-Cumulus 26,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
204,39,06-21-25,6.23,0:48:59,48.98,7:52,74,2427,841,Strava,Asics Gel-Cumulus 26,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
205,39,06-22-25,6.25,0:47:23,47.38,7:35,74,2427,843,Strava,Asics Gel-Cumulus 26,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
206,40,06-23-25,6.36,0:49:23,49.38,7:46,72,2427,858,Strava,Asics Gel-Cumulus 26,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
207,40,06-24-25,6.06,0:47:09,47.15,7:47,66,2427,817,Strava,Asics Gel-Cumulus 26,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
208,40,06-25-25,6.78,0:59:26,59.43,8:46,74,2427,915,Strava,Asics Gel-Cumulus 26,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
209,40,06-26-25,6.31,0:50:32,50.53,8:01,72,2472,851,Strava,Asics Gel-Cumulus 26,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
210,40,06-28-25,6.28,0:51:57,51.95,8:16,72,2427,848,Strava,Asics Gel-Cumulus 26,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
211,40,06-29-25,6.24,0:52:03,52.05,8:20,73,2427,841,Strava,Asics Gel-Cumulus 26,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
212,41,07-02-25,6.37,0:51:38,51.63,8:06,73,2427,859,Strava,Asics Gel-Cumulus 26,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
213,41,07-02-25,6.24,0:55:33,55.55,8:54,72,2427,843,Strava,Asics Gel-Cumulus 26,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
214,41,07-06-25,6.46,0:54:24,54.40,8:25,72,2427,871,Strava,Asics Gel-Cumulus 26,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
215,42,07-07-25,6.26,0:55:39,55.65,8:53,72,2427,845,Strava,Asics Gel-Cumulus 26,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
216,42,07-09-25,6.42,0:57:04,57.07,8:53,71,2427,866,Strava,Asics Gel-Cumulus 26,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
217,42,07-10-25,6.31,0:56:34,56.57,8:58,52,2427,851,Strava,Asics Gel-Cumulus 26,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
218,42,07-12-25,6.27,0:55:28,55.47,8:51,52,2427,846,Strava,Asics Gel-Cumulus 26,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
219,42,07-13-25,6.28,0:53:33,53.55,8:32,52,2427,847,Strava,Asics Gel-Cumulus 26,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
220,43,07-14-25,6.26,0:54:58,54.97,8:47,52,2427,844,Strava,Asics Gel-Cumulus 26,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
221,43,07-15-25,5.29,0:44:00,44.00,8:19,56,2427,714,Strava,Asics Gel-Cumulus 26,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
222,43,07-18-25,7.45,1:06:58,66.97,8:59,75,2427,1006,Strava,Asics Gel-Cumulus 26,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
223,43,07-19-25,6.30,0:57:48,57.80,9:10,52,2427,850,Strava,Asics Gel-Cumulus 26,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
224,43,07-19-25,6.25,0:59:59,59.98,9:36,52,2427,842,Strava,Asics Gel-Cumulus 26,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
225,43,07-20-25,6.25,0:57:41,57.68,9:14,53,2427,842,Strava,Asics Gel-Cumulus 26,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
226,44,07-22-25,6.23,0:59:27,59.45,9:33,59,2427,841,Strava,Asics Gel-Cumulus 26,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
227,44,07-23-25,6.27,0:58:27,58.45,9:19,52,2427,846,Strava,Asics Gel-Cumulus 26,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
228,44,07-26-25,6.32,0:58:49,58.82,9:18,52,2427,852,Strava,Asics Gel-Contend 7,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
229,44,07-27-25,6.27,0:57:41,57.68,9:12,52,2427,846,Strava,Asics Gel-Cumulus 26,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
230,45,07-28-25,6.24,0:58:22,58.37,9:21,61,2427,841,Strava,Asics Gel-Cumulus 26,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
231,45,07-29-25,6.24,0:55:22,55.37,8:52,61,2427,842,Strava,Asics Gel-Cumulus 26,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
232,45,07-30-25,6.52,1:00:48,60.80,9:20,64,2427,879,Strava,Asics Gel-Cumulus 26,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
233,45,08-02-25,7.68,1:05:30,65.50,8:32,64,2427,1036,Strava,Asics Gel-Cumulus 26,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
234,46,08-04-25,6.53,0:55:35,55.58,8:31,61,2427,880,Strava,Asics Gel-Cumulus 26,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
235,46,08-05-25,6.56,0:55:00,55.00,8:23,61,2427,885,Strava,Asics Gel-Cumulus 26,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
236,46,08-06-25,6.91,0:56:19,56.32,8:09,75,2427,933,Strava,Asics Gel-Cumulus 26,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
237,46,08-07-25,6.62,0:55:26,55.43,8:22,73,2427,894,Strava,Asics Gel-Cumulus 26,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
238,46,08-08-25,6.67,0:57:14,57.23,8:35,64,2427,900,Strava,Asics Gel-Cumulus 26,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
239,46,08-09-25,6.59,0:58:27,58.45,8:52,71,2427,889,Strava,Asics Gel-Contend 7,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
240,46,08-10-25,6.56,1:01:14,61.23,9:20,64,2427,885,Strava,Asics Gel-Cumulus 26,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
241,47,08-11-25,6.50,0:55:00,55.00,8:28,64,2427,878,None,Asics Gel-Cumulus 26,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
242,47,08-12-25,6.66,1:03:13,63.22,9:30,63,2427,899,Strava,Asics Gel-Contend 7,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
243,47,08-13-25,6.24,1:01:42,61.70,9:53,184,330,845,Strava,Asics Gel-Cumulus 26,Solo Run,Cambria,SLO County Ranch Trail,Dirt Hills,Daily Run
244,47,08-14-25,6.35,0:55:25,55.42,8:44,197,330,862,Strava,Asics Gel-Contend 7,Solo Run,Cambria,SLO County Ranch Trail,Dirt Hills,Daily Run
245,47,08-15-25,6.00,1:00:10,60.17,10:02,619,447,843,Strava,Asics Gel-Cumulus 26,Solo Run,Salinas,SLO County County Trail,Dirt Hills,Daily Run
246,47,08-16-25,6.77,1:03:17,63.28,9:21,752,532,955,Strava,Asics Gel-Cumulus 26,Solo Run,Salinas,Monterey County Trail,Dirt Hills,Daily Run
247,47,08-17-25,7.85,1:10:58,70.97,9:02,1048,532,1139,Strava,Asics Gel-Cumulus 26,Solo Run,Salinas,Monterey County Trail,Dirt Hills,Daily Run
248,48,08-18-25,13.13,2:13:05,133.08,10:08,138,2427,1770,Strava,Asics Gel-Cumulus 26,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
249,48,08-19-25,6.36,0:56:43,56.72,8:55,71,2427,858,Strava,Asics Gel-Contend 7,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
250,48,08-20-25,7.58,1:09:39,69.65,9:11,87,2550,1023,Strava,Asics Gel-Cumulus 26,Run Club,Nampa,Kingfisher Trail,Gravel Road,Boise Area Runners
251,48,08-21-25,6.56,0:58:38,58.63,8:56,64,2427,885,Strava,Asics Gel-Cumulus 26,Solo Run,Caldwell,Suburbs,Concrete,Daily Run
